,equity
2018-04-13,740119.9854964997
2018-04-14,740119.9854964997
2018-04-15,740119.9854964997
2018-04-16,754928.4527174579
2018-04-17,769575.015830052
2018-04-18,784214.145643289
2018-04-19,799100.0344954018
2018-04-20,814596.2307634398
2018-04-21,814596.2307634398
2018-04-22,814596.2307634398
2018-04-23,830940.3090917144
2018-04-24,847764.1689825413
2018-04-25,864421.9514534413
2018-04-26,881326.0979516598
2018-04-27,898498.8918608298
2018-04-28,898498.8918608298
2018-04-29,898498.8918608298
2018-04-30,915823.3795087779
2018-05-01,915823.3795087779
2018-05-02,933403.9051860045
2018-05-03,951176.9546645671
2018-05-04,968688.4192667828
2018-05-05,968688.4192667828
2018-05-06,968688.4192667828
2018-05-07,986152.6653953487
2018-05-08,1003710.7555368922
2018-05-09,1022250.6118164002
2018-05-10,1042248.3784409692
2018-05-11,1063505.7223528887
2018-05-12,1063505.7223528887
2018-05-13,1063505.7223528887
2018-05-14,1086130.0546440207
2018-05-15,1110240.218481825
2018-05-16,1135233.345268184
2018-05-17,1160260.9041570202
2018-05-18,1185199.0674627852
2018-05-19,1185199.0674627852
2018-05-20,1185199.0674627852
2018-05-21,1209631.845357605
2018-05-22,1233248.7252669432
2018-05-23,1255361.8045660253
2018-05-24,1275491.6472357316
2018-05-25,1293195.6702987975
2018-05-26,1293195.6702987975
2018-05-27,1293195.6702987975
2018-05-28,1307703.4687176903
2018-05-29,1320164.5749749634
2018-05-30,1332079.9954787262
2018-05-31,1332079.9954787262
2018-06-01,1341809.0612627256
2018-06-02,1341809.0612627256
2018-06-03,1341809.0612627256
2018-06-04,1350656.3161748836
2018-06-05,1358708.2198384793
2018-06-06,1366782.979478145
2018-06-07,1372902.9796085197
2018-06-08,1377831.0892230365
2018-06-09,1377831.0892230365
2018-06-10,1377831.0892230365
2018-06-11,1381623.9091881632
2018-06-12,1384791.476910786
2018-06-13,1387428.2786810924
2018-06-14,1389603.9817702393
2018-06-15,1391425.734047792
2018-06-16,1391425.734047792
2018-06-17,1391425.734047792
2018-06-18,1392334.8999610895
2018-06-19,1393232.050454387
2018-06-20,1394691.2229074081
2018-06-21,1396184.9542823539
2018-06-22,1397759.3551609193
2018-06-23,1397759.3551609193
2018-06-24,1397759.3551609193
2018-06-25,1400206.3037035298
2018-06-26,1402610.7003923992
2018-06-27,1405202.712923055
2018-06-28,1408733.9572632173
2018-06-29,1413946.576003761
2018-06-30,1413946.576003761
2018-07-01,1413946.576003761
2018-07-02,1420387.8153642416
2018-07-03,1427567.294283064
2018-07-04,1435292.6237000185
2018-07-05,1443593.2932174266
2018-07-06,1452725.6340823302
2018-07-07,1452725.6340823302
2018-07-08,1452725.6340823302
2018-07-09,1452725.6340823302
2018-07-10,1461886.1980667925
2018-07-11,1471183.2013114055
2018-07-12,1480498.0246977399
2018-07-13,1489878.738462626
2018-07-14,1489878.738462626
2018-07-15,1489878.738462626
2018-07-16,1498996.6154643963
2018-07-17,1508559.8798674638
2018-07-18,1518768.6496341163
2018-07-19,1529193.3057201789
2018-07-20,1540352.4620153678
2018-07-21,1540352.4620153678
2018-07-22,1540352.4620153678
2018-07-23,1552325.9070060556
2018-07-24,1565059.9364028594
2018-07-25,1578970.2881579546
2018-07-26,1592993.816241309
2018-07-27,1608127.1827000794
2018-07-28,1608127.1827000794
2018-07-29,1608127.1827000794
2018-07-30,1623412.0450205384
2018-07-31,1638644.4835375696
2018-08-01,1653894.9770237217
2018-08-02,1669546.7159354743
2018-08-03,1685767.8884325898
2018-08-04,1685767.8884325898
2018-08-05,1685767.8884325898
2018-08-06,1702700.7925918424
2018-08-07,1720193.396876848
2018-08-08,1737749.0185006424
2018-08-09,1754797.2918623635
2018-08-10,1771095.9556608086
2018-08-11,1771095.9556608086
2018-08-12,1771095.9556608086
2018-08-13,1786777.8165948924
2018-08-14,1802048.81003709
2018-08-15,1816710.546803615
2018-08-16,1830788.1243673016
2018-08-17,1844320.3486281536
2018-08-18,1844320.3486281536
2018-08-19,1844320.3486281536
2018-08-20,1856893.8070413095
2018-08-21,1868477.649003895
2018-08-22,1880006.8630069133
2018-08-23,1891856.5921751887
2018-08-24,1904241.0148956454
2018-08-25,1904241.0148956454
2018-08-26,1904241.0148956454
2018-08-27,1916854.250553373
2018-08-28,1929822.6999181693
2018-08-29,1943296.8414702085
2018-08-30,1957004.1956511226
2018-08-31,1971161.2372278569
2018-09-01,1971161.2372278569
2018-09-02,1971161.2372278569
2018-09-03,1985434.1916907479
2018-09-04,1999776.20852852
2018-09-05,2013897.3291267373
2018-09-06,2028027.538430135
2018-09-07,2028027.538430135
2018-09-08,2028027.538430135
2018-09-09,2028027.538430135
2018-09-10,2042287.9090810884
2018-09-11,2056206.9353598028
2018-09-12,2070324.073093722
2018-09-13,2084457.22777023
2018-09-14,2098283.9417660483
2018-09-15,2098283.9417660483
2018-09-16,2098283.9417660483
2018-09-17,2112379.5053368714
2018-09-18,2127228.600642587
2018-09-19,2142564.8880698066
2018-09-20,2158458.3065085136
2018-09-21,2175150.227142183
2018-09-22,2175150.227142183
2018-09-23,2175150.227142183
2018-09-24,2192086.538532263
2018-09-25,2209086.093221762
2018-09-26,2226039.0769631895
2018-09-27,2243630.164371363
2018-09-28,2261649.825320146
2018-09-29,2261649.825320146
2018-09-30,2261649.825320146
2018-10-01,2280317.3646332505
2018-10-02,2300247.5872403877
2018-10-03,2321770.667842904
2018-10-04,2344649.4515992743
2018-10-05,2368791.507792455
2018-10-06,2368791.507792455
2018-10-07,2368791.507792455
2018-10-08,2395012.4512499403
2018-10-09,2421843.1515147816
2018-10-10,2449770.5696471194
2018-10-11,2478012.627704274
2018-10-12,2478012.627704274
2018-10-13,2478012.627704274
2018-10-14,2478012.627704274
2018-10-15,2505808.3603607374
2018-10-16,2533686.4774149666
2018-10-17,2561605.780359819
2018-10-18,2589191.481222964
2018-10-19,2616687.072170816
2018-10-20,2616687.072170816
2018-10-21,2616687.072170816
2018-10-22,2644296.5910843527
2018-10-23,2671803.312088044
2018-10-24,2699065.9791908143
2018-10-25,2725879.8969264994
2018-10-26,2752812.059718135
2018-10-27,2752812.059718135
2018-10-28,2752812.059718135
2018-10-29,2779835.447014341
2018-10-30,2806821.8122278824
2018-10-31,2834466.3469874472
2018-11-01,2862811.795410034
2018-11-02,2862811.795410034
2018-11-03,2862811.795410034
2018-11-04,2862811.795410034
2018-11-05,2892308.0540797315
2018-11-06,2922640.9919822384
2018-11-07,2952852.4236076768
2018-11-08,2982183.671915643
2018-11-09,3010761.074208872
2018-11-10,3010761.074208872
2018-11-11,3010761.074208872
2018-11-12,3038604.837711842
2018-11-13,3065216.0010714047
2018-11-14,3091180.8096817196
2018-11-15,3091180.8096817196
2018-11-16,3117371.687717413
2018-11-17,3117371.687717413
2018-11-18,3117371.687717413
2018-11-19,3143767.5962794507
2018-11-20,3143767.5962794507
2018-11-21,3170012.78730274
2018-11-22,3196621.3665678794
2018-11-23,3221819.3514991626
2018-11-24,3221819.3514991626
2018-11-25,3221819.3514991626
2018-11-26,3246492.791506865
2018-11-27,3270532.3030917584
2018-11-28,3294150.2825707477
2018-11-29,3317694.789277061
2018-11-30,3342051.920468666
2018-12-01,3342051.920468666
2018-12-02,3342051.920468666
2018-12-03,3367918.7275844174
2018-12-04,3394170.001002189
2018-12-05,3420807.0740541215
2018-12-06,3447356.5031415643
2018-12-07,3472524.922288562
2018-12-08,3472524.922288562
2018-12-09,3472524.922288562
2018-12-10,3496610.8391985344
2018-12-11,3519310.2022775114
2018-12-12,3541051.964203096
2018-12-13,3561938.3340883832
2018-12-14,3582059.2912907535
2018-12-15,3582059.2912907535
2018-12-16,3582059.2912907535
2018-12-17,3601736.760576008
2018-12-18,3620713.910298956
2018-12-19,3639055.2501500463
2018-12-20,3656570.468255164
2018-12-21,3673142.0180795183
2018-12-22,3673142.0180795183
2018-12-23,3673142.0180795183
2018-12-24,3673142.0180795183
2018-12-25,3673142.0180795183
2018-12-26,3689029.398736494
2018-12-27,3704079.800935221
2018-12-28,3719323.2166681536
2018-12-29,3719323.2166681536
2018-12-30,3719323.2166681536
2018-12-31,3719323.2166681536
2019-01-01,3719323.2166681536
2019-01-02,3735946.6494552162
2019-01-03,3754296.329462978
2019-01-04,3774526.09184673
2019-01-05,3774526.09184673
2019-01-06,3774526.09184673
2019-01-07,3796406.6617891733
2019-01-08,3819811.799622436
2019-01-09,3844396.151088271
2019-01-10,3869779.787651294
2019-01-11,3895207.7371460064
2019-01-12,3895207.7371460064
2019-01-13,3895207.7371460064
2019-01-14,3920407.1261047665
2019-01-15,3945408.7192783384
2019-01-16,3970224.0985418423
2019-01-17,3995031.428889555
2019-01-18,4020060.4169035037
2019-01-19,4020060.4169035037
2019-01-20,4020060.4169035037
2019-01-21,4045359.297431428
2019-01-22,4070779.2176488116
2019-01-23,4096461.860714246
2019-01-24,4122171.7866649046
2019-01-25,4122171.7866649046
2019-01-26,4122171.7866649046
2019-01-27,4122171.7866649046
2019-01-28,4147656.3332875576
2019-01-29,4173172.4020014987
2019-01-30,4198790.934495744
2019-01-31,4224468.307852935
2019-02-01,4250335.315984605
2019-02-02,4250335.315984605
2019-02-03,4250335.315984605
2019-02-04,4276813.027594175
2019-02-05,4302997.223984232
2019-02-06,4328046.423399943
2019-02-07,4352007.442547835
2019-02-08,4375052.230334142
2019-02-09,4375052.230334142
2019-02-10,4375052.230334142
2019-02-11,4397113.298185699
2019-02-12,4419187.470158759
2019-02-13,4442205.7632561065
2019-02-14,4467302.163390934
2019-02-15,4493498.539217268
2019-02-16,4493498.539217268
2019-02-17,4493498.539217268
2019-02-18,4520886.626644057
2019-02-19,4549039.623733657
2019-02-20,4577513.036700142
2019-02-21,4606175.464875095
2019-02-22,4635278.970276633
2019-02-23,4635278.970276633
2019-02-24,4635278.970276633
2019-02-25,4664310.880745283
2019-02-26,4692996.2182316445
2019-02-27,4721836.6597512495
2019-02-28,4750487.215359807
2019-03-01,4779014.633139824
2019-03-02,4779014.633139824
2019-03-03,4779014.633139824
2019-03-04,4779014.633139824
2019-03-05,4779014.633139824
2019-03-06,4807530.02415984
2019-03-07,4836007.307976807
2019-03-08,4864093.776460833
2019-03-09,4864093.776460833
2019-03-10,4864093.776460833
2019-03-11,4892392.97853591
2019-03-12,4921037.969801191
2019-03-13,4950156.0093341665
2019-03-14,4979903.774275076
2019-03-15,5010094.730375629
2019-03-16,5010094.730375629
2019-03-17,5010094.730375629
2019-03-18,5040615.507849295
2019-03-19,5071707.802713551
2019-03-20,5103079.365948565
2019-03-21,5134580.94634343
2019-03-22,5165594.307783955
2019-03-23,5165594.307783955
2019-03-24,5165594.307783955
2019-03-25,5196072.243421649
2019-03-26,5226342.943836301
2019-03-27,5256081.5044567
2019-03-28,5285850.985930797
2019-03-29,5316066.882448071
2019-03-30,5316066.882448071
2019-03-31,5316066.882448071
2019-04-01,5346364.478777986
2019-04-02,5376678.406285939
2019-04-03,5407086.728898213
2019-04-04,5437490.052427756
2019-04-05,5468015.150752094
2019-04-06,5468015.150752094
2019-04-07,5468015.150752094
2019-04-08,5498922.677451865
2019-04-09,5530038.995511437
2019-04-10,5561506.987713948
2019-04-11,5592773.742932798
2019-04-12,5622916.975766944
2019-04-13,5622916.975766944
2019-04-14,5622916.975766944
2019-04-15,5651980.31863132
2019-04-16,5680073.933131223
2019-04-17,5707476.076174643
2019-04-18,5735293.091538177
2019-04-19,5735293.091538177
2019-04-20,5735293.091538177
2019-04-21,5735293.091538177
2019-04-22,5763511.742842719
2019-04-23,5792385.034667924
2019-04-24,5821423.290349302
2019-04-25,5850610.336878608
2019-04-26,5879626.4533973755
2019-04-27,5879626.4533973755
2019-04-28,5879626.4533973755
2019-04-29,5908504.280117215
2019-04-30,5937150.021859438
2019-05-01,5937150.021859438
2019-05-02,5965252.571583394
2019-05-03,5993015.340219162
2019-05-04,5993015.340219162
2019-05-05,5993015.340219162
2019-05-06,6020219.633424951
2019-05-07,6046871.159027995
2019-05-08,6073654.477786567
2019-05-09,6100203.6737701455
2019-05-10,6126810.458538814
2019-05-11,6126810.458538814
2019-05-12,6126810.458538814
2019-05-13,6152722.68402052
2019-05-14,6178045.396339217
2019-05-15,6202679.562053378
2019-05-16,6226300.818580234
2019-05-17,6249147.347581943
2019-05-18,6249147.347581943
2019-05-19,6249147.347581943
2019-05-20,6271424.622662654
2019-05-21,6294024.342949689
2019-05-22,6316577.263263566
2019-05-23,6339727.515842075
2019-05-24,6363569.906473577
2019-05-25,6363569.906473577
2019-05-26,6363569.906473577
2019-05-27,6388254.3916535005
2019-05-28,6413606.394665213
2019-05-29,6439724.727618532
2019-05-30,6466100.646750001
2019-05-31,6492167.319470537
2019-06-01,6492167.319470537
2019-06-02,6492167.319470537
2019-06-03,6518168.388030401
2019-06-04,6544047.955200045
2019-06-05,6569670.30551155
2019-06-06,6595470.626060088
2019-06-07,6621598.952064274
2019-06-08,6621598.952064274
2019-06-09,6621598.952064274
2019-06-10,6647852.185475859
2019-06-11,6674467.72407903
2019-06-12,6701850.833819059
2019-06-13,6729405.506138968
2019-06-14,6757121.083843041
2019-06-15,6757121.083843041
2019-06-16,6757121.083843041
2019-06-17,6784906.449913975
2019-06-18,6812838.930451915
2019-06-19,6840895.664077215
2019-06-20,6840895.664077215
2019-06-21,6869337.429286857
2019-06-22,6869337.429286857
2019-06-23,6869337.429286857
2019-06-24,6898199.220621666
2019-06-25,6927125.908098852
2019-06-26,6956157.569940979
2019-06-27,6984919.600541136
2019-06-28,7013348.275188096
2019-06-29,7013348.275188096
2019-06-30,7013348.275188096
2019-07-01,7041452.199882741
2019-07-02,7069279.124409437
2019-07-03,7096999.269227977
2019-07-04,7124685.528173338
2019-07-05,7152201.713110722
