,equity
2018-08-11,195500.21422752953
2018-08-12,195500.21422752953
2018-08-13,195500.21422752953
2018-08-14,195500.21422752953
2018-08-15,195500.21422752953
2018-08-16,195500.21422752953
2018-08-17,195500.21422752953
2018-08-18,195500.21422752953
2018-08-19,195500.21422752953
2018-08-20,195500.21422752953
2018-08-21,195500.21422752953
2018-08-22,203616.4097900325
2018-08-23,212491.80552755808
2018-08-24,221952.0196646611
2018-08-25,221952.0196646611
2018-08-26,221952.0196646611
2018-08-27,221952.0196646611
2018-08-28,221952.0196646611
2018-08-29,221952.0196646611
2018-08-30,221952.0196646611
2018-08-31,221952.0196646611
2018-09-01,221952.0196646611
2018-09-02,221952.0196646611
2018-09-03,221952.0196646611
2018-09-04,221952.0196646611
2018-09-05,221952.0196646611
2018-09-06,221952.0196646611
2018-09-07,221952.0196646611
2018-09-08,221952.0196646611
2018-09-09,221952.0196646611
2018-09-10,221952.0196646611
2018-09-11,221952.0196646611
2018-09-12,221952.0196646611
2018-09-13,231587.71612193558
2018-09-14,231587.71612193558
2018-09-15,231587.71612193558
2018-09-16,231587.71612193558
2018-09-17,231587.71612193558
2018-09-18,231587.71612193558
2018-09-19,231587.71612193558
2018-09-20,231587.71612193558
2018-09-21,231587.71612193558
2018-09-22,231587.71612193558
2018-09-23,231587.71612193558
2018-09-24,231587.71612193558
2018-09-25,231587.71612193558
2018-09-26,231587.71612193558
2018-09-27,231587.71612193558
2018-09-28,231587.71612193558
2018-09-29,231587.71612193558
2018-09-30,231587.71612193558
2018-10-01,231587.71612193558
2018-10-02,231587.71612193558
2018-10-03,231587.71612193558
2018-10-04,231587.71612193558
2018-10-05,231587.71612193558
2018-10-06,231587.71612193558
2018-10-07,231587.71612193558
2018-10-08,231587.71612193558
2018-10-09,231587.71612193558
2018-10-10,231587.71612193558
2018-10-11,231587.71612193558
2018-10-12,231587.71612193558
2018-10-13,231587.71612193558
2018-10-14,231587.71612193558
2018-10-15,231587.71612193558
2018-10-16,231587.71612193558
2018-10-17,231587.71612193558
2018-10-18,241221.9871411163
2018-10-19,250770.45196042515
2018-10-20,250770.45196042515
2018-10-21,250770.45196042515
2018-10-22,250770.45196042515
2018-10-23,250770.45196042515
2018-10-24,250770.45196042515
2018-10-25,259870.78298440986
2018-10-26,268595.10444339365
2018-10-27,268595.10444339365
2018-10-28,268595.10444339365
2018-10-29,268595.10444339365
2018-10-30,276692.3854884116
2018-10-31,284909.8238647737
2018-11-01,293588.7953924744
2018-11-02,293588.7953924744
2018-11-03,293588.7953924744
2018-11-04,293588.7953924744
2018-11-05,302903.5011705901
2018-11-06,312883.3923732323
2018-11-07,323447.3657059919
2018-11-08,323447.3657059919
2018-11-09,323447.3657059919
2018-11-10,323447.3657059919
2018-11-11,323447.3657059919
2018-11-12,323447.3657059919
2018-11-13,323447.3657059919
2018-11-14,323447.3657059919
2018-11-15,323447.3657059919
2018-11-16,323447.3657059919
2018-11-17,323447.3657059919
2018-11-18,323447.3657059919
2018-11-19,334048.28583807085
2018-11-20,334048.28583807085
2018-11-21,344569.75530761667
2018-11-22,344569.75530761667
2018-11-23,354094.38823777
2018-11-24,354094.38823777
2018-11-25,354094.38823777
2018-11-26,354094.38823777
2018-11-27,362825.8029850986
2018-11-28,371108.15454916435
2018-11-29,379118.10445472744
2018-11-30,387686.5746666641
2018-12-01,387686.5746666641
2018-12-02,387686.5746666641
2018-12-03,397132.5106053458
2018-12-04,407037.6833842483
2018-12-05,417100.29598027706
2018-12-06,427294.3787083254
2018-12-07,436701.22639808804
2018-12-08,436701.22639808804
2018-12-09,436701.22639808804
2018-12-10,436701.22639808804
2018-12-11,445589.45403333224
2018-12-12,454208.37623328983
2018-12-13,462457.01403927803
2018-12-14,470646.6527853643
2018-12-15,470646.6527853643
2018-12-16,470646.6527853643
2018-12-17,478843.7904246823
2018-12-18,487085.5723376897
2018-12-19,495150.1116253212
2018-12-20,503089.4604609509
2018-12-21,510816.3718696136
2018-12-22,510816.3718696136
2018-12-23,510816.3718696136
2018-12-24,510816.3718696136
2018-12-25,510816.3718696136
2018-12-26,518354.01676285366
2018-12-27,525435.594552825
2018-12-28,532556.3628942673
2018-12-29,532556.3628942673
2018-12-30,532556.3628942673
2018-12-31,532556.3628942673
2019-01-01,532556.3628942673
2019-01-02,539826.1790847793
2019-01-03,546862.4323740652
2019-01-04,554303.8012751773
2019-01-05,554303.8012751773
2019-01-06,554303.8012751773
2019-01-07,562051.1477793166
2019-01-08,570266.3486138755
2019-01-09,579038.3961746263
2019-01-10,588456.7638068645
2019-01-11,588456.7638068645
2019-01-12,588456.7638068645
2019-01-13,588456.7638068645
2019-01-14,588456.7638068645
2019-01-15,588456.7638068645
2019-01-16,588456.7638068645
2019-01-17,588456.7638068645
2019-01-18,588456.7638068645
2019-01-19,588456.7638068645
2019-01-20,588456.7638068645
2019-01-21,588456.7638068645
2019-01-22,588456.7638068645
2019-01-23,588456.7638068645
2019-01-24,588456.7638068645
2019-01-25,588456.7638068645
2019-01-26,588456.7638068645
2019-01-27,588456.7638068645
2019-01-28,588456.7638068645
2019-01-29,588456.7638068645
2019-01-30,588456.7638068645
2019-01-31,588456.7638068645
2019-02-01,588456.7638068645
2019-02-02,588456.7638068645
2019-02-03,588456.7638068645
2019-02-04,598188.9490039753
