,equity
2018-11-25,1932146.2097565266
2018-11-26,1947295.0168340756
2018-11-27,1962603.1136716404
2018-11-28,1977938.741586564
2018-11-29,1993473.2983873142
2018-11-30,2009261.9593669828
2018-12-01,2009261.9593669828
2018-12-02,2009261.9593669828
2018-12-03,2025682.8305440522
2018-12-04,2042028.9311829207
2018-12-05,2058603.3916388245
2018-12-06,2074958.7379982187
2018-12-07,2090720.309455454
2018-12-08,2090720.309455454
2018-12-09,2090720.309455454
2018-12-10,2105399.3786756634
2018-12-11,2119210.514119396
2018-12-12,2132333.353845023
2018-12-13,2144971.085924322
2018-12-14,2156902.404380606
2018-12-15,2156902.404380606
2018-12-16,2156902.404380606
2018-12-17,2168382.7360265423
2018-12-18,2179118.1038364833
2018-12-19,2189394.904399942
2018-12-20,2198970.7736694305
2018-12-21,2207815.412085122
2018-12-22,2207815.412085122
2018-12-23,2207815.412085122
2018-12-24,2207815.412085122
2018-12-25,2207815.412085122
2018-12-26,2216165.147848858
2018-12-27,2224133.972257613
2018-12-28,2232256.6196491034
2018-12-29,2232256.6196491034
2018-12-30,2232256.6196491034
2018-12-31,2232256.6196491034
2019-01-01,2232256.6196491034
2019-01-02,2241610.236245654
2019-01-03,2252923.6629641303
2019-01-04,2265712.05644677
2019-01-05,2265712.05644677
2019-01-06,2265712.05644677
2019-01-07,2279845.279885074
2019-01-08,2295035.216883778
2019-01-09,2310847.520788862
2019-01-10,2326812.789719647
2019-01-11,2342822.371582121
2019-01-12,2342822.371582121
2019-01-13,2342822.371582121
2019-01-14,2358603.392908643
2019-01-15,2374186.6184499767
2019-01-16,2389583.6300812424
2019-01-17,2404972.592796717
2019-01-18,2420583.2131784274
2019-01-19,2420583.2131784274
2019-01-20,2420583.2131784274
2019-01-21,2436463.7260741135
2019-01-22,2452465.278659259
2019-01-23,2468729.554092455
2019-01-24,2485021.112410875
2019-01-25,2485021.112410875
2019-01-26,2485021.112410875
2019-01-27,2485021.112410875
2019-01-28,2501087.29140129
2019-01-29,2517184.992482993
2019-01-30,2533385.157345
2019-01-31,2549644.1630699523
2019-02-01,2566092.803569384
2019-02-02,2566092.803569384
2019-02-03,2566092.803569384
2019-02-04,2582838.3299818435
2019-02-05,2599676.4413798675
2019-02-06,2616355.6382121863
2019-02-07,2632862.0252906177
2019-02-08,2649081.618344982
2019-02-09,2649081.618344982
2019-02-10,2649081.618344982
2019-02-11,2664876.2176386616
2019-02-12,2680627.783409058
2019-02-13,2696543.1043798
2019-02-14,2713313.336676358
2019-02-15,2730735.0321109137
2019-02-16,2730735.0321109137
2019-02-17,2730735.0321109137
2019-02-18,2748713.422822395
2019-02-19,2767202.4618717064
2019-02-20,2786011.916797903
2019-02-21,2805010.3869325677
2019-02-22,2824199.913969177
2019-02-23,2824199.913969177
2019-02-24,2824199.913969177
2019-02-25,2843317.8460728973
2019-02-26,2862089.2051943294
2019-02-27,2880811.7452371786
2019-02-28,2899344.3993689804
2019-03-01,2917753.9156722412
2019-03-02,2917753.9156722412
2019-03-03,2917753.9156722412
2019-03-04,2917753.9156722412
2019-03-05,2917753.9156722412
2019-03-06,2936151.405215502
2019-03-07,2954510.7875557123
2019-03-08,2972479.3545629834
2019-03-09,2972479.3545629834
2019-03-10,2972479.3545629834
2019-03-11,2990660.6551613053
2019-03-12,3009187.7449498307
2019-03-13,3028187.88300605
2019-03-14,3047817.7464702036
2019-03-15,3067890.801094001
2019-03-16,3067890.801094001
2019-03-17,3067890.801094001
2019-03-18,3088293.6770909117
2019-03-19,3109268.070478412
2019-03-20,3130521.7322366713
2019-03-21,3151905.411154781
2019-03-22,3172800.87111855
2019-03-23,3172800.87111855
2019-03-24,3172800.87111855
2019-03-25,3193160.9052794883
2019-03-26,3213313.7042173846
2019-03-27,3232934.3633610285
2019-03-28,3252585.943358369
2019-03-29,3272683.9383988874
2019-03-30,3272683.9383988874
2019-03-31,3272683.9383988874
2019-04-01,3292863.633252047
2019-04-02,3313059.659283244
2019-04-03,3333350.080418763
2019-04-04,3353635.50247155
2019-04-05,3374042.6993191326
2019-04-06,3374042.6993191326
2019-04-07,3374042.6993191326
2019-04-08,3394832.3245421485
2019-04-09,3415830.7411249653
2019-04-10,3437180.831850721
2019-04-11,3458329.685592816
2019-04-12,3478355.0169502054
2019-04-13,3478355.0169502054
2019-04-14,3478355.0169502054
2019-04-15,3497300.4583378267
2019-04-16,3515276.1713609737
2019-04-17,3532560.4129276387
2019-04-18,3550259.526814417
2019-04-19,3550259.526814417
2019-04-20,3550259.526814417
2019-04-21,3550259.526814417
2019-04-22,3568360.2766422033
2019-04-23,3587115.666990653
2019-04-24,3606036.0211952757
2019-04-25,3625105.1662478265
2019-04-26,3644003.3812898383
2019-04-27,3644003.3812898383
2019-04-28,3644003.3812898383
2019-04-29,3662763.3065329217
2019-04-30,3681291.1467983895
2019-05-01,3681291.1467983895
2019-05-02,3699544.664094479
2019-05-03,3717486.298250107
2019-05-04,3717486.298250107
2019-05-05,3717486.298250107
2019-05-06,3735132.783693886
2019-05-07,3752342.096248176
2019-05-08,3769752.069173511
2019-05-09,3787123.993007093
2019-05-10,3804593.78091003
2019-05-11,3804593.78091003
2019-05-12,3804593.78091003
2019-05-13,3821770.1162677566
2019-05-14,3838816.5995943756
2019-05-15,3855400.8708750424
2019-05-16,3871377.6555419434
2019-05-17,3886758.6677826145
2019-05-18,3886758.6677826145
2019-05-19,3886758.6677826145
2019-05-20,3901879.277996719
2019-05-21,3917279.2377647897
2019-05-22,3932868.9569582525
2019-05-23,3948762.0207382785
2019-05-24,3965214.372573303
2019-05-25,3965214.372573303
2019-05-26,3965214.372573303
2019-05-27,3981864.8150476837
2019-05-28,3998677.8701652866
2019-05-29,4015710.559765248
2019-05-30,4032731.22321521
2019-05-31,4049454.6892542383
2019-06-01,4049454.6892542383
2019-06-02,4049454.6892542383
2019-06-03,4066112.5511325956
2019-06-04,4082648.911620733
2019-06-05,4098928.05525073
2019-06-06,4115385.1691177613
2019-06-07,4132170.2884404394
2019-06-08,4132170.2884404394
2019-06-09,4132170.2884404394
2019-06-10,4149080.315170517
2019-06-11,4166352.6470921813
2019-06-12,4183872.7924705907
2019-06-13,4201564.500428881
2019-06-14,4219417.113771334
2019-06-15,4219417.113771334
2019-06-16,4219417.113771334
2019-06-17,4237339.515480649
2019-06-18,4255409.031656969
2019-06-19,4273602.800920649
2019-06-20,4273602.800920649
2019-06-21,4292181.6017686725
2019-06-22,4292181.6017686725
2019-06-23,4292181.6017686725
2019-06-24,4311180.428741861
2019-06-25,4330244.151857428
2019-06-26,4349412.849337935
2019-06-27,4368311.915576474
2019-06-28,4386877.625861814
2019-06-29,4386877.625861814
2019-06-30,4386877.625861814
2019-07-01,4405118.58619484
2019-07-02,4423082.546359917
2019-07-03,4440939.726816837
2019-07-04,4458763.021400577
2019-07-05,4476416.241976342
2019-07-06,4476416.241976342
2019-07-07,4476416.241976342
2019-07-08,4494200.501831495
2019-07-09,4494200.501831495
2019-07-10,4512353.65134207
2019-07-11,4530867.308348113
2019-07-12,4549830.984364951
2019-07-13,4549830.984364951
2019-07-14,4549830.984364951
2019-07-15,4569029.905720035
2019-07-16,4588156.084762156
2019-07-17,4607085.838283818
2019-07-18,4625642.66604978
2019-07-19,4643785.226816371
2019-07-20,4643785.226816371
2019-07-21,4643785.226816371
2019-07-22,4661636.409622499
2019-07-23,4679307.647569317
2019-07-24,4696819.163287825
2019-07-25,4714096.833102568
2019-07-26,4730826.63119716
2019-07-27,4730826.63119716
2019-07-28,4730826.63119716
2019-07-29,4747133.641673168
2019-07-30,4762939.31670343
2019-07-31,4778226.95792063
2019-08-01,4793297.348736071
2019-08-02,4808470.130246945
2019-08-03,4808470.130246945
2019-08-04,4808470.130246945
2019-08-05,4823327.27966481
2019-08-06,4837979.147580634
2019-08-07,4852352.829928057
2019-08-08,4866706.901355944
2019-08-09,4881234.994062815
2019-08-10,4881234.994062815
2019-08-11,4881234.994062815
2019-08-12,4895654.53577174
2019-08-13,4910199.630804077
2019-08-14,4924280.592346402
2019-08-15,4937562.455438586
2019-08-16,4950056.829561787
2019-08-17,4950056.829561787
2019-08-18,4950056.829561787
2019-08-19,4962014.730418166
2019-08-20,4973469.711414434
2019-08-21,4985096.7414487265
2019-08-22,4996914.012140807
2019-08-23,5008711.028676491
2019-08-24,5008711.028676491
2019-08-25,5008711.028676491
2019-08-26,5020516.932735627
2019-08-27,5032306.705574648
2019-08-28,5043727.59022841
2019-08-29,5055427.00671775
2019-08-30,5067488.686698346
2019-08-31,5067488.686698346
2019-09-01,5067488.686698346
2019-09-02,5080005.863881388
2019-09-03,5093089.529085252
2019-09-04,5106707.354381562
2019-09-05,5120650.01222851
2019-09-06,5135025.702225939
2019-09-07,5135025.702225939
2019-09-08,5135025.702225939
2019-09-09,5150114.1778065525
2019-09-10,5165549.954650537
2019-09-11,5181075.208824555
2019-09-12,5196838.4365443885
2019-09-13,5212638.23533133
2019-09-14,5212638.23533133
2019-09-15,5212638.23533133
2019-09-16,5228799.389788188
2019-09-17,5245072.831391515
2019-09-18,5261468.273943786
2019-09-19,5277914.373768029
