Ticker,signal_date,entry_date,exit_date,entry_price,exit_price,size,net_pnl
PETR4,2018-01-03,2018-01-04,2018-01-10,16.780000686645508,16.791599237442018,16,-11.81442318725584
VALE3,2018-01-03,2018-01-04,2018-01-10,41.810001373291016,42.44876622009278,1,-11.361235153198237
PETR4,2018-01-04,2018-01-05,2018-01-11,16.700000762939453,17.241375,16,-3.338012207031227
VALE3,2018-01-04,2018-01-05,2018-01-11,41.56999969482422,43.27834923744202,1,-10.291650457382197
PETR4,2018-01-05,2018-01-08,2018-01-12,16.739999771118164,17.291349237442017,15,-3.7297580051422123
VALE3,2018-01-05,2018-01-08,2018-01-12,42.400001525878906,43.52822423744202,1,-10.871777288436888
PETR4,2018-01-08,2018-01-09,2018-01-15,17.030000686645508,17.341325381278992,15,-7.33012958049774
PETR4,2018-01-09,2018-01-10,2018-01-16,16.920000076293945,17.64117461872101,16,-0.4612073211669667
PETR4,2018-01-10,2018-01-11,2018-01-17,16.8799991607666,18.350820610046384,15,10.062321739196733
PETR4,2018-01-11,2018-01-12,2018-01-18,17.040000915527344,18.210889313697812,15,5.563325972557031
PETR4,2018-01-12,2018-01-15,2018-01-19,17.31999969482422,18.2508702287674,15,1.9630580091477263
PETR4,2018-01-15,2018-01-16,2018-01-22,17.350000381469727,18.460764313697812,14,3.5506950511931947
PETR4,2018-01-16,2018-01-17,2018-01-23,17.920000076293945,18.230879771232605,13,-7.958563965797428
PETR4,2018-01-17,2018-01-18,2018-01-24,18.350000381469727,19.330330152511596,12,-0.2360427474975637
PETR4,2018-01-18,2018-01-19,2018-01-25,18.309999465942383,19.330330152511596,12,0.2439682388305613
PETR4,2018-01-19,2018-01-22,2018-01-26,18.26000022888184,19.920035305023195,12,7.920420913696262
PETR4,2018-01-22,2018-01-23,2018-01-29,18.39999961853028,19.840075381278993,12,5.280909152984549
PETR4,2018-01-23,2018-01-24,2018-01-30,18.420000076293945,19.480254771232605,10,-1.3974530506134002
VALE3,2018-01-23,2018-01-24,2018-01-30,41.209999084472656,41.449266220092774,2,-11.521465728759765
PETR4,2018-01-24,2018-01-25,2018-01-31,19.34000015258789,19.690150762557984,10,-8.498493900299067
VALE3,2018-01-24,2018-01-25,2018-01-31,41.77999877929688,41.429275762557985,2,-12.701446033477794
PETR4,2018-01-25,2018-01-26,2018-02-01,19.6200008392334,20.50974045753479,9,-3.9923434352874807
VALE3,2018-01-25,2018-01-26,2018-02-01,41.84999847412109,41.76910591506958,2,-12.161785118103012
PETR4,2018-01-26,2018-01-29,2018-02-02,19.670000076293945,19.960014313697812,9,-9.389871863365201
VALE3,2018-01-26,2018-01-29,2018-02-02,41.09999847412109,40.77959923744202,2,-12.640798473358132
PETR4,2018-01-29,2018-01-30,2018-02-05,19.770000457763672,19.03048091506958,9,-18.65567588424681
VALE3,2018-01-29,2018-01-30,2018-02-05,41.70000076293945,40.32982347488403,2,-14.740354576110846
PETR4,2018-01-30,2018-01-31,2018-02-06,19.739999771118164,19.980004771232608,9,-9.839954998970008
VALE3,2018-01-30,2018-01-31,2018-02-06,41.75,42.44876622009278,2,-10.602467559814443
PETR4,2018-01-31,2018-02-01,2018-02-07,19.76000022888184,19.43028053379059,9,-14.967477255821244
VALE3,2018-01-31,2018-02-01,2018-02-07,41.59999847412109,41.68914408493042,2,-11.821708778381335
PETR4,2018-02-01,2018-02-02,2018-02-08,20.299999237060547,19.040474237442016,8,-22.076199996948247
VALE3,2018-02-01,2018-02-02,2018-02-08,41.650001525878906,41.5692051525116,2,-12.161592746734613
PETR4,2018-02-02,2018-02-05,2018-02-09,19.64999961853028,18.76061545753479,8,-19.115073287963924
VALE3,2018-02-02,2018-02-05,2018-02-09,40.59999847412109,41.979,2,-9.241996948242175
PETR4,2018-02-05,2018-02-06,2018-02-14,18.65999984741211,19.240375,8,-7.356998779296873
VALE3,2018-02-05,2018-02-06,2018-02-14,40.0099983215332,44.48774332237244,1,-7.522254999160765
PETR4,2018-02-06,2018-02-07,2018-02-15,19.96999931335449,19.390299618721016,7,-16.057897862434306
PETR4,2018-02-07,2018-02-08,2018-02-16,19.549999237060547,19.410290076255798,7,-12.977964125633243
VALE3,2018-02-07,2018-02-08,2018-02-16,41.68999862670898,46.00698377990724,1,-7.68301484680174
PETR4,2018-02-08,2018-02-09,2018-02-19,19.030000686645508,20.039974237442017,7,-4.930185144424435
VALE3,2018-02-08,2018-02-09,2018-02-19,41.400001525878906,46.42677576255799,1,-6.973225763320919
PETR4,2018-02-09,2018-02-14,2018-02-20,19.01000022888184,20.429780533790588,7,-2.061537865638762
VALE3,2018-02-09,2018-02-14,2018-02-20,43.400001525878906,45.487243322372436,1,-9.91275820350647
PETR4,2018-02-14,2018-02-15,2018-02-21,19.5,20.239875,7,-6.82087499999999
PETR4,2018-02-15,2018-02-16,2018-02-22,19.459999084472656,20.729629771232606,7,-3.1125851926803527
PETR4,2018-02-16,2018-02-19,2018-02-23,19.549999237060547,21.109440838813782,7,-1.0839087877273528
PETR4,2018-02-19,2018-02-20,2018-02-26,19.8799991607666,21.50924045753479,7,-0.5953109226226765
PETR4,2018-02-20,2018-02-21,2018-02-27,20.59000015258789,21.489250000000002,7,-5.705251068115221
PETR4,2018-02-21,2018-02-22,2018-02-28,20.59000015258789,21.44926908493042,7,-5.985117473602287
PETR4,2018-02-22,2018-02-23,2018-03-01,20.950000762939453,21.019485686302186,7,-11.513605536460869
PETR4,2018-02-23,2018-02-26,2018-03-02,21.39999961853028,21.4992452287674,6,-11.404526338577284
PETR4,2018-02-26,2018-02-27,2018-03-05,21.46999931335449,22.108940838813783,6,-8.166350847244232
PETR4,2018-02-27,2018-02-28,2018-03-06,21.6299991607666,21.889049618721018,6,-10.445697252273504
PETR4,2018-02-28,2018-03-01,2018-03-07,21.39999961853028,21.6591650762558,6,-10.445007253646885
PETR4,2018-03-01,2018-03-02,2018-03-08,20.700000762939453,21.689150762557986,6,-6.065100002288801
