Date,equity
,10000.0
2018-01-02,10102.38634044266
2018-01-02,17854.746951404573
2018-01-03,10148.586810413362
2018-01-03,17777.746951404573
2018-01-04,10157.8264344368
2018-01-04,17882.905738613128
2018-01-05,17941.98803941917
2018-01-05,31563.08857004356
2018-01-08,18048.98844759178
2018-01-08,32065.987835332868
2018-01-09,18048.98844759178
2018-01-09,32258.896710340494
2018-01-10,32130.47353051471
2018-01-10,56593.98542092609
2018-01-11,32559.32425759601
2018-01-11,57384.97353051471
2018-01-12,57623.22353051471
2018-01-12,32593.96761723041
2018-01-15,57429.29949970722
2018-01-15,32641.41870327472
2018-01-16,56318.96761723041
2018-01-16,32926.11797924518
2018-01-17,33577.56394766711
2018-01-17,56508.31479452991
2018-01-18,33448.06274794482
2018-01-18,56240.06394766712
2018-01-19,33485.06359480762
2018-01-19,56568.54408916377
2018-01-22,56568.54408916377
2018-01-22,56873.48943175028
2018-01-23,56517.45014036845
2018-01-23,91641.57096708965
2018-01-24,58220.250730883585
2018-01-24,92957.3686050291
2018-01-25,92983.70632408428
2018-01-25,92954.46931390095
2018-01-26,94372.23968056965
2018-01-26,146036.73968056965
2018-01-29,147142.11748055744
2018-01-29,94179.999863904
2018-01-30,93310.45542508792
2018-01-30,145556.91887075137
2018-01-31,93809.62778264712
2018-01-31,145509.37778264712
2018-02-01,95758.76705724429
2018-02-01,145909.36394031235
2018-02-02,145909.36394031235
2018-02-02,145909.36394031235
2018-02-05,145909.36394031235
2018-02-05,143602.57835547347
2018-02-06,230574.73948828597
2018-02-06,147128.9741074266
2018-02-07,145087.37693945784
2018-02-07,227753.61155859847
2018-02-08,227750.74649683086
2018-02-08,224775.81689905256
2018-02-09,358436.62134241196
2018-02-09,223145.10400842756
2018-02-14,373054.85156702134
2018-02-14,225940.62134241193
2018-02-15,376091.92068213364
2018-02-15,375027.5977536211
2018-02-16,375220.46216783614
2018-02-16,631820.6796608935
2018-02-19,635870.7587891588
2018-02-19,381295.5440751085
2018-02-20,384993.1708742961
2018-02-20,624411.649744688
2018-02-21,383178.66577404586
2018-02-21,617631.1584879741
2018-02-22,387858.1635882243
2018-02-22,621947.6346502169
2018-02-23,621947.6346502169
2018-02-23,624309.4653519858
2018-02-26,1014383.515543865
2018-02-26,630246.6596898306
2018-02-27,629949.7928952444
2018-02-27,1013344.5100735892
2018-02-28,629386.1892187508
2018-02-28,974036.0914480599
2018-03-01,623103.9126264962
2018-03-01,965270.1137411507
2018-03-02,955043.1025946053
2018-03-02,630366.1913138074
2018-03-05,961818.229291026
2018-03-05,639477.7704306287
2018-03-06,636191.6121969861
2018-03-06,958681.472966258
2018-03-07,944354.6487462053
2018-03-07,943677.1739703349
2018-03-08,1374485.6623793773
2018-03-08,944330.258917921
2018-03-09,959350.8390227489
2018-03-09,1388417.809092634
2018-03-12,958123.6530264758
2018-03-12,1388060.1751021289
2018-03-13,953424.9076918506
2018-03-13,1381012.077468767
2018-03-14,1391050.2820662402
2018-03-14,959187.4544728851
2018-03-15,936211.3510259247
2018-03-15,1389076.9652589415
2018-03-16,1386929.616111145
2018-03-16,938788.1290467834
2018-03-19,927857.6494024716
2018-03-19,1371436.2491339168
2018-03-20,1382432.2491339168
2018-03-20,932915.7993353329
2018-03-21,1402225.082691046
2018-03-21,952484.5596548519
2018-03-22,1389884.3431555233
2018-03-22,945223.9013334713
2018-03-23,945883.9764410458
2018-03-23,1382623.642868658
2018-03-26,1391880.518441046
2018-03-26,1390265.2630659582
2018-03-27,1371660.7882544042
2018-03-27,1984031.6506601812
2018-03-28,2005474.100283289
2018-03-28,1364092.8754717351
2018-03-29,1366314.034424905
2018-03-29,1366314.034424905
2018-04-02,1351254.2442537246
2018-04-02,2058078.5564542706
2018-04-03,1345177.4571729596
2018-04-03,2053920.732292741
2018-04-04,1334623.0696130688
2018-04-04,2020361.3767409774
2018-04-05,2019850.2936000873
2018-04-05,3075390.511819844
2018-04-06,3051031.9719867753
2018-04-06,2026059.4046154069
2018-04-09,1990237.9046154069
2018-04-09,3067815.8919067504
2018-04-10,3067815.8919067504
2018-04-10,3067815.8919067504
2018-04-11,3067815.8919067504
2018-04-11,3099373.1142979693
2018-04-12,3090751.7910367083
2018-04-12,4752526.717775447
2018-04-13,3056266.2239247393
2018-04-13,4764740.236223323
2018-04-16,3014358.581426586
2018-04-16,4745138.026946987
2018-04-17,4845714.212783779
2018-04-17,3044024.940385784
2018-04-18,3099739.725498165
2018-04-18,4924830.570202175
2018-04-19,4938097.852370952
2018-04-19,7797688.331542705
2018-04-20,4955949.355346415
2018-04-20,7775373.8464200245
2018-04-23,4969337.876174663
2018-04-23,7732257.558432658
2018-04-24,7732257.558432658
2018-04-24,7696104.970786268
2018-04-25,12066867.016556911
2018-04-25,7581490.06773489
2018-04-26,7735450.302478008
2018-04-26,12195167.266556911
2018-04-27,12233557.385351188
2018-04-27,12195677.550499884
2018-04-30,19147998.945313424
2018-04-30,12265307.951796498
2018-05-02,19158711.550499886
2018-05-02,12166218.907847373
2018-05-03,19192022.94229493
2018-05-03,19148902.997498497
2018-05-04,19072271.1075754
2018-05-04,30750099.997498497
2018-05-07,19234048.910286892
2018-05-07,30554263.667267784
2018-05-08,30568997.923190758
2018-05-08,30461927.830791224
2018-05-09,48583262.69192861
2018-05-09,31701390.56704687
2018-05-10,49345499.80330251
2018-05-10,32344319.691928614
2018-05-11,49607891.215882495
2018-05-11,49220976.19748509
2018-05-14,76905733.20422184
2018-05-14,49989196.26485264
2018-05-15,77270639.10990727
2018-05-15,50517349.16380131
2018-05-16,77950187.1193794
