Price,Close,High,Low,Open,Volume
Ticker,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA
Date,,,,,
2018-01-02,11.770393371582031,11.813039072074124,11.631081480381148,11.813039072074124,12800
2018-01-03,11.429221153259277,11.781763679269787,11.429221153259277,11.781763679269787,59800
2018-01-04,11.554316520690918,11.628237461221932,11.4093194212688,11.460495123312526,42000
2018-01-05,11.58275032043457,11.625396024059366,11.486085207177672,11.486085207177672,8800
2018-01-08,11.704998016357422,11.713528021672115,11.44343432382658,11.44343432382658,13600
2018-01-09,11.673727989196777,11.739118929379579,11.412163143912796,11.57990549813921,27000
2018-01-10,11.525885581970215,11.596962822483768,11.460494650844062,11.562844966159377,19200
2018-01-11,11.98930835723877,11.98930835723877,11.432063054322123,11.434906751279799,5200
2018-01-12,11.88127326965332,11.886959579751487,11.713530917692058,11.813038633028079,11600
2018-01-15,11.798822402954102,11.881272265580636,11.7988224029541,11.881272265580636,7000
2018-01-16,11.983624458312988,12.071759551805227,11.798823179511592,11.798823179511592,18200
2018-01-17,12.060384750366211,12.142834603505966,11.884113510712542,11.966563363852297,23000
2018-01-18,12.060384750366211,12.211069226513619,11.940975515793495,12.208225529755673,5800
2018-01-19,11.679415702819824,12.230974841434692,11.565691654760743,12.230974841434692,40200
2018-01-22,11.795979499816895,11.795979499816896,11.665196550938855,11.685098091833911,4800
2018-01-23,11.795979499816895,11.795979499816896,11.795979499816896,11.795979499816896,0
2018-01-24,12.509594917297363,12.509594917297363,11.935290656856937,12.083131454207681,42400
2018-01-25,12.509594917297363,12.509594917297363,12.509594917297363,12.509594917297363,0
2018-01-26,12.367439270019531,12.484005895619223,12.211069565125202,12.484005895619223,45200
2018-01-29,12.367439270019531,12.367439270019533,12.0575424725151,12.199696946883142,8000
2018-01-30,12.364599227905273,12.367441840780383,12.211072103382225,12.213914716257335,16800
2018-01-31,12.381657600402832,12.509596876275308,12.302051421883444,12.36459975332173,9600
2018-02-01,12.509594917297363,12.609102624863887,12.41577243483235,12.452732905308205,21400
2018-02-02,12.538028717041016,12.668811704779646,12.307739079812544,12.35322848459682,64000
2018-02-05,12.737041473388672,12.748414092333357,12.421458347265784,12.509594517258142,15800
2018-02-06,13.14360237121582,13.143602371215819,12.478319397849132,12.586357100410233,40800
2018-02-07,12.967333793640137,12.99292164727899,12.887727619898268,12.99292164727899,5600
2018-02-08,12.72282600402832,13.021350196150864,12.583514135943073,12.853607865788275,43000
2018-02-09,12.825181007385254,12.825181007385256,12.356070656120865,12.722829579141903,32600
2018-02-14,13.0469388961792,13.0469388961792,12.637534356123963,12.90762810356887,17600
2018-02-15,13.078214645385742,13.078214645385742,12.719985764911025,12.964490605952564,42000
2018-02-16,12.660276412963867,12.930370115659674,12.660276412963867,12.930370115659674,109400
2018-02-19,12.614786148071289,12.717137530133114,12.566454153515666,12.580669382234824,84000
2018-02-20,12.512435913085938,12.651747770230921,12.51243591308594,12.555082687705482,13800
2018-02-21,12.304891586303711,12.535182237048156,12.299205276890593,12.535182237048156,61200
2018-02-22,12.242352485656738,12.310586074843144,12.140001017323783,12.310586074843144,24400
2018-02-23,12.35322380065918,12.367439030910637,12.225284559290975,12.225284559290975,108400
2018-02-26,12.250876426696777,12.410089877582708,12.25087642669678,12.367443088284702,18400
2018-02-27,12.054702758789062,12.307737610478098,11.946665028616916,12.307737610478098,15000
2018-02-28,11.975096702575684,12.083134443628836,11.858530037207501,12.054703972876768,26400
2018-03-01,12.165579795837402,12.168422408032638,11.94097547307505,11.943818085270285,35400
2018-03-02,12.168421745300293,12.168421745300293,11.838623436435558,12.026267283124934,33200
2018-03-05,12.503905296325684,12.503905296325685,12.23949793246693,12.313418853842702,101800
2018-03-06,12.48116683959961,12.48116683959961,12.427147429834333,12.48116683959961,16000
2018-03-07,12.509594917297363,12.509594917297363,12.407243512627412,12.481164453579119,24400
2018-03-08,12.657438278198242,12.657438278198242,12.429991268728733,12.452735427399238,13600
2018-03-09,12.907631874084473,12.907631874084473,12.472638270870307,12.586362329715856,41600
2018-03-12,12.324797630310059,12.788221713558928,12.324797630310057,12.788221713558928,105400
2018-03-13,12.194014549255371,12.401560018261089,12.111564667381712,12.401560018261089,26800
2018-03-14,12.20538330078125,12.367439315391135,12.088816674753918,12.33616515738702,364400
2018-03-15,12.12293529510498,12.279305024436185,11.943820325735114,12.279305024436185,19600
2018-03-16,12.066073417663574,12.066073417663576,11.918232609378382,12.026270331693091,58200
2018-03-19,11.997846603393555,12.040492326073208,11.898337748034312,11.997846603393555,43800
2018-03-20,11.824413299560547,12.134310203948543,11.7561786511266,12.134310203948543,82400
2018-03-21,11.88979721069336,11.88979721069336,11.699310782706092,11.78175953320155,48000
2018-03-22,11.827255249023438,11.878430961338438,11.74196275668273,11.827255249023438,37200
2018-03-23,11.82156753540039,11.869899539887713,11.713529822739844,11.869899539887713,30600
2018-03-26,11.983624458312988,11.983624458312988,11.778921636816394,11.798823179511592,830000
2018-03-27,12.293521881103516,12.321952347846462,12.088819049985378,12.097347973097706,165800
2018-03-28,12.168421745300293,12.225283747080933,12.14852020735994,12.19116697983354,10400
2018-03-29,12.566457748413086,12.566457748413086,12.33332446015848,12.45273371702183,10400
2018-04-02,12.793909072875977,12.793909072875975,12.50959998236762,12.566462017379914,41400
2018-04-03,12.74272632598877,12.74272632598877,12.634688627471448,12.685864322318995,178400
2018-04-04,12.921843528747559,12.921843528747559,12.532340524672772,12.580672531326469,141600
2018-04-05,12.907631874084473,12.938904959941645,12.78822150384135,12.936062346519359,14600
2018-04-06,12.93605899810791,12.936058998107908,12.754101418695926,12.907628533032058,464800
2018-04-09,12.933219909667969,12.961650382491,12.782535366957445,12.859298945043255,65600
2018-04-10,13.14928913116455,13.14928913116455,12.936057415524045,12.936057415524045,19000
2018-04-11,13.078214645385742,13.251643317472569,13.078214645385742,13.189094987329039,313800
2018-04-12,12.856452941894531,13.160663476016563,12.702925826201335,13.01566528301097,64200
2018-04-13,13.166478157043457,13.166478157043457,13.014315641199431,13.0680199246573,12000
2018-04-16,13.142608642578125,13.154543180313109,12.954643656742697,12.954643656742697,21800
2018-04-17,13.39919376373291,13.39919376373291,12.698056266377971,12.859167952204288,35800
2018-04-18,13.426050186157227,13.5155569597702,13.172447471230408,13.172447471230408,52400
2018-04-19,13.411128044128418,13.411128044128418,13.273884295133179,13.28880189599962,8400
2018-04-20,13.053106307983398,13.273890778317416,13.053106307983398,13.241071357497711,26200
2018-04-23,13.121720314025879,13.187359116137243,12.71297217846844,13.127687581321446,375600
2018-04-24,13.079954147338867,13.127691160579003,12.73087631328149,13.014315327331117,90200
2018-04-25,12.665241241455078,13.005367673151502,12.66524124145508,12.915860897148297,127400
2018-04-26,13.068017959594727,13.184376843542937,12.695072235073532,12.695072235073532,104200
2018-04-27,13.166478157043457,13.303721931151253,13.011332575736304,13.0680199246573,63200
